,Train Split,Order,MSE,MAPE,Time(s),Mean
0,0.8,"(0, 0, 0)",707.571,0.454,6.575,-12.324
1,0.8,"(0, 0, 1)",193.314,0.234,130.942,-6.299
2,0.8,"(0, 1, 0)",3.991,0.02,7.602,0.075
3,0.8,"(0, 1, 1)",3.997,0.02,28.182,0.078
4,0.8,"(0, 1, 2)",4.002,0.02,38.144,0.079
5,0.8,"(0, 2, 0)",8.147,0.029,7.249,-0.003
6,0.8,"(0, 2, 1)",4.002,0.02,449.752,0.089
7,0.8,"(1, 0, 0)",3.99,0.02,65.697,0.053
8,0.8,"(1, 0, 1)",3.997,0.02,649.33,0.057
9,0.8,"(1, 0, 2)",4.002,0.02,755.408,0.058
10,0.8,"(1, 1, 0)",3.997,0.02,31.42,0.078
11,0.8,"(1, 1, 1)",4,0.02,587.805,0.079
12,0.8,"(1, 2, 0)",6.074,0.026,31.582,-0.002
13,0.8,"(1, 2, 1)",4.021,0.02,1330.225,0.097
14,0.8,"(2, 0, 0)",3.997,0.02,221.348,0.057
15,0.8,"(2, 0, 1)",3.999,0.02,738.78,0.058
16,0.8,"(2, 1, 0)",4.003,0.02,44.701,0.079
17,0.8,"(2, 2, 0)",5.427,0.024,53.602,0.001
18,0.8,"(2, 2, 1)",4.029,0.02,1772.308,0.105
19,0.8,"(3, 0, 0)",4.003,0.02,324.902,0.059
20,0.8,"(3, 0, 1)",4.004,0.02,897.621,0.059
21,0.8,"(3, 0, 2)",4.023,0.02,1565.359,0.054
22,0.8,"(3, 1, 0)",4.013,0.02,60.784,0.078
23,0.8,"(3, 1, 1)",4.016,0.02,1092.422,0.062
24,0.8,"(3, 1, 2)",3.999,0.02,1564.259,0.065
25,0.8,"(3, 2, 0)",4.949,0.023,336.544,0.004
26,0.8,"(3, 2, 1)",4.036,0.02,2564.895,0.101
27,0.8,"(3, 2, 2)",4.045,0.02,3018.463,0.104
28,0.8,"(4, 0, 0)",4.012,0.02,437.341,0.057
29,0.8,"(4, 0, 1)",4.016,0.02,1993.463,0.02
30,0.8,"(4, 0, 2)",4.015,0.02,3957.03,0.06
31,0.8,"(4, 1, 0)",4.009,0.02,83.6,0.075
32,0.8,"(4, 1, 1)",4.026,0.02,983.333,0.067
33,0.8,"(4, 1, 2)",4.037,0.02,1623.978,0.064
34,0.8,"(4, 2, 0)",4.87,0.023,559.645,0.005
35,0.8,"(4, 2, 1)",4.017,0.02,3403.145,0.089
36,0.8,"(4, 2, 2)",4.026,0.02,4830.583,0.089
37,0.5,"(0, 0, 0)",883.147,0.521,15.498,-21.812
38,0.5,"(0, 0, 1)",239.281,0.268,278.717,-11.175
39,0.5,"(0, 1, 0)",2.427,0.017,18.755,0.035
40,0.5,"(0, 1, 1)",2.423,0.017,68.845,0.037
41,0.5,"(0, 1, 2)",2.427,0.017,96.938,0.037
42,0.5,"(0, 2, 0)",5.115,0.026,17.919,-0.003
43,0.5,"(0, 2, 1)",2.435,0.018,935.25,0.072
44,0.5,"(1, 0, 0)",2.428,0.018,158.871,-0.008
45,0.5,"(1, 0, 1)",2.424,0.017,1547.039,-0.004
46,0.5,"(1, 0, 2)",2.428,0.018,1756.679,-0.003
47,0.5,"(1, 1, 0)",2.423,0.017,74.287,0.037
48,0.5,"(1, 1, 1)",2.424,0.017,1353.293,0.037
49,0.5,"(1, 2, 0)",3.689,0.022,74.174,-0.003
50,0.5,"(1, 2, 1)",2.438,0.018,2943.034,0.077
51,0.5,"(2, 0, 0)",2.424,0.017,484.727,-0.004
52,0.5,"(2, 0, 1)",2.425,0.017,1686.324,-0.003
53,0.5,"(2, 1, 0)",2.428,0.017,101.088,0.038
54,0.5,"(2, 2, 0)",3.311,0.021,125.945,-0.003
55,0.5,"(2, 2, 1)",2.446,0.018,3435.38,0.048
56,0.5,"(3, 0, 0)",2.429,0.018,809.567,-0.002
57,0.5,"(3, 0, 1)",2.43,0.018,2171.049,-0.003
58,0.5,"(3, 0, 2)",2.443,0.018,3293.167,-0.006
59,0.5,"(3, 1, 0)",2.434,0.017,151.07,0.037
60,0.5,"(3, 1, 1)",2.435,0.017,2494.891,0.027
61,0.5,"(3, 1, 2)",2.436,0.018,3458.46,0.034
62,0.5,"(3, 2, 0)",3.015,0.02,740.174,-0.002
63,0.5,"(3, 2, 1)",2.449,0.018,4942.622,0.052
64,0.5,"(3, 2, 2)",2.45,0.018,6099.27,0.046
65,0.5,"(4, 0, 0)",2.435,0.018,1079.173,-0.004
66,0.5,"(4, 0, 1)",2.441,0.018,4870.029,-0.039
67,0.6,"(0, 0, 0)",644.014,0.419,12.176,-16.743
68,0.6,"(0, 0, 1)",176.182,0.215,225.254,-8.56
69,0.6,"(0, 1, 0)",2.596,0.017,13.366,0.053
70,0.6,"(0, 1, 1)",2.596,0.017,48.543,0.056
71,0.6,"(0, 1, 2)",2.6,0.017,68.538,0.057
72,0.6,"(0, 2, 0)",5.379,0.024,13.396,-0.002
73,0.6,"(0, 2, 1)",2.605,0.017,744.242,0.077
74,0.6,"(1, 0, 0)",2.594,0.017,111.717,0.022
75,0.6,"(1, 0, 1)",2.594,0.017,1118.576,0.026
76,0.6,"(1, 0, 2)",2.598,0.017,1286.571,0.027
77,0.6,"(1, 1, 0)",2.595,0.017,52.645,0.056
78,0.6,"(1, 1, 1)",2.598,0.017,1003.902,0.056
79,0.6,"(1, 2, 0)",3.935,0.021,52.726,-0.001
80,0.6,"(1, 2, 1)",2.612,0.017,2292.684,0.084
81,0.6,"(2, 0, 0)",2.593,0.017,373.328,0.026
82,0.6,"(2, 0, 1)",2.595,0.017,1254.843,0.027
83,0.6,"(2, 1, 0)",2.601,0.017,76.053,0.057
84,0.6,"(2, 2, 0)",3.518,0.02,94.259,0
85,0.6,"(2, 2, 1)",2.618,0.017,2714.452,0.052
86,0.6,"(3, 0, 0)",2.599,0.017,560.989,0.028
87,0.6,"(3, 0, 1)",2.599,0.017,1569.831,0.027
88,0.6,"(3, 0, 2)",2.611,0.017,2420.853,0.024
89,0.6,"(3, 1, 0)",2.606,0.017,104.751,0.056
90,0.6,"(3, 1, 1)",2.608,0.017,1873.727,0.042
91,0.6,"(3, 1, 2)",2.6,0.017,2577.907,0.05
92,0.6,"(3, 2, 0)",3.203,0.019,575.073,0.001
93,0.6,"(3, 2, 1)",2.621,0.017,3984.16,0.056
94,0.6,"(3, 2, 2)",2.625,0.017,4841.231,0.052
95,0.6,"(4, 0, 0)",2.604,0.017,784.752,0.026
96,0.6,"(4, 0, 1)",2.604,0.017,3303.184,0.005
97,0.6,"(4, 0, 2)",2.606,0.017,5965.258,0.029
98,0.6,"(4, 1, 0)",2.601,0.017,146.29,0.053
99,0.6,"(4, 1, 1)",2.611,0.017,1498.804,0.05
100,0.6,"(4, 1, 2)",2.618,0.017,2772.364,0.05
101,0.6,"(4, 2, 0)",3.129,0.019,928.074,0.001
