,Train Split,Order,MSE,MAPE,Time(s),Mean
0,0.800,"(0, 0, 0)",669.106,0.433,1.270,-12.302
1,0.800,"(0, 0, 1)",255.394,0.262,1.916,-6.155
2,0.800,"(0, 1, 0)",62.040,0.116,1.055,1.689
3,0.800,"(0, 1, 1)",64.798,0.115,1.796,1.505
4,0.800,"(0, 2, 0)",112.724,0.142,1.057,0.485
5,0.800,"(0, 2, 1)",63.398,0.118,3.747,2.169
6,0.800,"(1, 0, 0)",62.705,0.114,2.127,1.103
7,0.800,"(1, 0, 1)",64.762,0.115,3.266,0.805
8,0.800,"(1, 1, 0)",64.360,0.115,1.556,1.443
9,0.800,"(1, 1, 1)",65.273,0.115,2.796,1.497
10,0.800,"(1, 2, 0)",90.807,0.133,1.602,0.543
11,0.800,"(1, 2, 1)",65.925,0.117,5.309,1.811
12,0.800,"(2, 0, 0)",64.289,0.116,3.210,0.652
13,0.800,"(2, 0, 1)",64.740,0.115,4.500,0.686
14,0.800,"(2, 1, 0)",65.202,0.115,2.103,1.508
15,0.800,"(2, 1, 1)",64.566,0.115,10.070,1.341
16,0.800,"(2, 2, 0)",85.943,0.134,1.999,0.602
17,0.800,"(2, 2, 1)",66.653,0.117,7.121,1.876
18,0.800,"(3, 0, 0)",64.655,0.115,4.425,0.683
19,0.800,"(3, 0, 1)",64.133,0.114,13.794,0.650
20,0.800,"(3, 1, 0)",65.283,0.115,2.582,1.554
21,0.800,"(3, 1, 1)",65.516,0.115,9.991,1.518
22,0.800,"(3, 2, 0)",80.074,0.129,2.528,0.667
23,0.800,"(3, 2, 1)",66.788,0.117,9.057,1.920
24,0.800,"(4, 0, 0)",65.086,0.115,5.504,0.670
25,0.800,"(4, 0, 1)",65.572,0.115,20.898,0.716
26,0.800,"(4, 1, 0)",66.640,0.115,3.567,1.631
27,0.800,"(4, 1, 1)",68.583,0.118,14.252,1.713
28,0.800,"(4, 2, 0)",74.723,0.125,3.208,0.713
29,0.800,"(4, 2, 1)",68.011,0.116,13.081,2.003
30,0.800,"(5, 0, 0)",65.972,0.117,12.980,0.753
31,0.800,"(5, 0, 1)",65.992,0.114,21.788,0.659
32,0.800,"(5, 1, 0)",71.316,0.120,9.743,1.729
33,0.800,"(5, 1, 1)",72.572,0.121,14.423,1.727
34,0.800,"(5, 2, 0)",77.819,0.128,9.496,0.904
35,0.800,"(5, 2, 1)",72.589,0.123,24.994,2.129
36,0.800,"(6, 0, 0)",69.621,0.120,19.901,0.899
37,0.800,"(6, 0, 1)",70.673,0.119,28.341,0.894
38,0.800,"(6, 1, 0)",72.226,0.121,15.279,1.684
39,0.800,"(6, 1, 1)",73.032,0.122,24.541,1.726
40,0.800,"(6, 2, 0)",80.072,0.130,15.453,0.993
41,0.800,"(6, 2, 1)",73.680,0.124,27.506,2.075
42,0.800,"(7, 0, 0)",70.590,0.120,51.311,0.789
