,Train Split,Order,MSE,MAPE,Time(s),Mean
0,0.800,"(0, 0, 0)",843.235,0.529,0.831,-9.036
1,0.800,"(0, 0, 1)",657.786,0.484,1.321,-3.456
2,0.800,"(0, 1, 0)",350.979,0.327,0.977,5.631
3,0.800,"(0, 1, 1)",432.485,0.369,1.011,6.495
4,0.800,"(0, 1, 2)",623.120,0.460,1.294,7.281
5,0.800,"(0, 2, 0)",830.158,0.494,0.780,1.227
6,0.800,"(0, 2, 1)",354.008,0.334,1.067,5.579
7,0.800,"(1, 0, 0)",328.142,0.299,1.211,2.084
8,0.800,"(1, 0, 1)",621.654,0.434,1.619,-0.849
9,0.800,"(1, 0, 2)",568.321,0.440,1.854,2.503
10,0.800,"(1, 1, 0)",366.476,0.337,1.005,5.874
11,0.800,"(1, 2, 0)",566.079,0.407,1.205,3.079
12,0.800,"(1, 2, 1)",377.324,0.346,1.765,5.813
13,0.800,"(2, 0, 0)",351.986,0.317,1.371,1.476
14,0.800,"(2, 0, 1)",527.252,0.439,2.155,1.874
15,0.800,"(2, 0, 2)",553.393,0.448,2.298,2.573
16,0.800,"(2, 1, 0)",481.316,0.421,1.259,6.615
17,0.800,"(2, 1, 1)",659.589,0.476,1.885,8.157
18,0.800,"(2, 2, 0)",789.290,0.509,1.234,1.893
19,0.800,"(2, 2, 1)",511.956,0.427,2.102,4.637
20,0.800,"(3, 0, 0)",425.257,0.379,2.006,2.286
21,0.800,"(3, 0, 1)",593.481,0.464,2.507,2.483
22,0.800,"(3, 1, 0)",533.939,0.443,1.476,6.769
23,0.800,"(3, 1, 1)",704.362,0.490,3.115,9.034
24,0.800,"(3, 1, 2)",435.431,0.365,5.038,8.622
25,0.800,"(3, 2, 0)",703.548,0.499,1.482,3.132
26,0.800,"(3, 2, 1)",546.620,0.444,2.709,5.531
27,0.500,"(0, 0, 0)",978.098,0.578,0.920,-21.377
28,0.500,"(0, 0, 1)",451.516,0.381,2.002,-9.777
29,0.500,"(0, 1, 0)",210.212,0.233,1.119,3.244
30,0.500,"(0, 1, 1)",325.810,0.284,1.706,3.890
31,0.500,"(0, 1, 2)",330.360,0.285,2.642,3.912
32,0.500,"(0, 2, 0)",566.713,0.380,0.902,1.909
33,0.500,"(0, 2, 1)",223.690,0.246,1.529,4.644
34,0.500,"(1, 0, 0)",228.906,0.243,1.669,-3.214
35,0.500,"(1, 0, 1)",382.834,0.325,3.202,-4.831
36,0.500,"(1, 1, 0)",224.345,0.245,1.495,3.435
37,0.500,"(1, 2, 0)",426.123,0.335,1.427,3.016
38,0.500,"(1, 2, 1)",336.555,0.302,3.384,4.394
39,0.500,"(2, 0, 0)",271.684,0.273,2.183,-4.648
40,0.500,"(2, 0, 1)",324.543,0.315,4.341,-3.249
41,0.500,"(2, 1, 0)",290.190,0.274,2.042,3.580
42,0.500,"(2, 1, 1)",390.467,0.306,3.475,5.123
43,0.500,"(2, 2, 0)",504.698,0.364,1.916,2.138
44,0.500,"(2, 2, 1)",333.113,0.301,3.134,3.080
45,0.500,"(3, 0, 0)",288.458,0.289,3.256,-2.526
46,0.500,"(3, 1, 0)",328.383,0.297,2.632,4.243
47,0.500,"(3, 1, 1)",393.276,0.308,5.894,5.112
48,0.500,"(3, 1, 2)",310.881,0.276,11.420,4.494
49,0.500,"(3, 2, 0)",447.312,0.351,2.495,2.443
50,0.500,"(3, 2, 1)",343.263,0.303,4.978,3.473
51,0.600,"(0, 0, 0)",773.095,0.494,0.868,-16.447
52,0.600,"(0, 0, 1)",452.269,0.365,1.743,-7.259
53,0.600,"(0, 1, 0)",240.900,0.249,0.921,4.497
54,0.600,"(0, 1, 1)",383.397,0.318,1.447,4.390
55,0.600,"(0, 1, 2)",399.126,0.326,2.281,5.842
56,0.600,"(0, 2, 0)",593.374,0.384,1.077,0.307
57,0.600,"(0, 2, 1)",255.823,0.263,1.441,5.276
58,0.600,"(1, 0, 0)",216.940,0.222,1.545,-0.458
59,0.600,"(1, 0, 1)",429.287,0.339,2.688,-3.051
60,0.600,"(1, 0, 2)",367.988,0.320,3.083,-0.021
61,0.600,"(1, 1, 0)",255.604,0.259,1.333,4.351
62,0.600,"(1, 2, 0)",421.533,0.330,1.337,1.479
63,0.600,"(1, 2, 1)",335.135,0.304,2.646,3.901
64,0.600,"(2, 0, 0)",255.704,0.255,1.933,-2.033
65,0.600,"(2, 0, 1)",353.914,0.325,4.255,-0.986
66,0.600,"(2, 0, 2)",374.180,0.338,4.632,-0.633
67,0.600,"(2, 1, 0)",341.755,0.313,1.774,5.847
68,0.600,"(2, 1, 1)",479.387,0.364,2.858,7.020
69,0.600,"(2, 2, 0)",606.103,0.410,1.666,1.483
70,0.600,"(2, 2, 1)",398.695,0.340,2.794,2.793
71,0.600,"(3, 0, 0)",294.513,0.284,2.879,0.352
72,0.600,"(3, 1, 0)",400.376,0.346,2.338,5.641
73,0.600,"(3, 1, 1)",481.018,0.363,5.058,7.231
74,0.600,"(3, 1, 2)",372.120,0.312,9.512,7.085
75,0.600,"(3, 2, 0)",534.521,0.392,2.232,1.796
76,0.600,"(3, 2, 1)",418.636,0.351,4.314,4.266
