Date,Close Prices,"ARIMA_50.0_(0, 1, 0)_Predictions",LSTM_60.0_Predictions
2/18/2015,60.53,62.52,
2/19/2015,60.21,60.52,
2/20/2015,60.22,60.2,
2/23/2015,58.9,60.21,
2/24/2015,58.66,58.89,
2/25/2015,61.63,58.65,
2/26/2015,60.05,61.62,
2/27/2015,62.58,60.04,
3/2/2015,59.54,62.57,
3/3/2015,61.02,59.53,
3/4/2015,60.55,61.01,
3/5/2015,60.48,60.54,
3/6/2015,59.73,60.47,
3/9/2015,58.53,59.72,
3/10/2015,56.39,58.52,
3/11/2015,57.54,56.38,
3/12/2015,57.08,57.53,
3/13/2015,54.67,57.07,
3/16/2015,53.44,54.66,
3/17/2015,53.43,53.43,
3/18/2015,55.91,53.42,
3/19/2015,54.43,55.9,
3/20/2015,55.32,54.42,
3/23/2015,55.92,55.31,
3/24/2015,55.11,55.91,
3/25/2015,56.48,55.1,
3/26/2015,59.19,56.47,
3/27/2015,56.41,59.18,
3/30/2015,56.29,56.4,
3/31/2015,55.11,56.28,
4/1/2015,57.1,55.1,
4/2/2015,54.95,57.09,
4/6/2015,58.12,54.94,
4/7/2015,59.1,58.11,
4/8/2015,55.55,59.09,
4/9/2015,56.57,55.54,
4/10/2015,57.87,56.56,
4/13/2015,57.93,57.86,
4/14/2015,58.43,57.92,
4/15/2015,60.32,58.42,
4/16/2015,60.4,60.31,
4/17/2015,63.45,60.39,
4/20/2015,63.45,63.44,
4/21/2015,62.08,63.44,
4/22/2015,62.73,62.07,
4/23/2015,64.85,62.72,
4/24/2015,65.28,64.84,
4/27/2015,64.83,65.27,
4/28/2015,64.64,64.82,
4/29/2015,65.84,64.63,
4/30/2015,66.78,65.83,
5/1/2015,66.46,66.78,
5/4/2015,66.45,66.46,
5/5/2015,67.52,66.45,
5/6/2015,67.77,67.52,
5/7/2015,65.54,67.77,
5/8/2015,65.39,65.53,
5/11/2015,64.91,65.38,
5/12/2015,66.86,64.9,
5/13/2015,66.81,66.86,
5/14/2015,66.59,66.81,
5/15/2015,66.57,66.59,
5/18/2015,66.27,66.57,
5/19/2015,64.02,66.27,
5/20/2015,65.03,64.01,
5/21/2015,66.54,65.02,
5/22/2015,65.37,66.54,
5/26/2015,63.72,65.36,
5/27/2015,62.06,63.71,
5/28/2015,62.58,62.05,
5/29/2015,65.56,62.57,
6/1/2015,64.88,65.55,
6/2/2015,65.49,64.87,
6/3/2015,63.8,65.48,
6/4/2015,62.03,63.79,
6/5/2015,63.31,62.02,
6/8/2015,62.69,63.3,
6/9/2015,64.88,62.68,
6/10/2015,65.7,64.87,
6/11/2015,65.11,65.69,
6/12/2015,63.87,65.1,
6/15/2015,62.61,63.86,
6/16/2015,62.63,62.6,
6/17/2015,63.87,62.62,
6/18/2015,64.26,63.86,
6/19/2015,63.02,64.25,
6/22/2015,63.34,63.01,
6/23/2015,64.45,63.33,
6/24/2015,63.49,64.44,
6/25/2015,63.2,63.48,
6/26/2015,63.26,63.19,
6/29/2015,62.01,63.25,
6/30/2015,63.59,62,
7/1/2015,62.01,63.58,
7/2/2015,62.07,62,
7/6/2015,56.54,62.06,
7/7/2015,56.85,56.53,
7/8/2015,57.05,56.84,
7/9/2015,58.61,57.04,
7/10/2015,58.73,58.6,
7/13/2015,57.85,58.72,
7/14/2015,58.51,57.84,
7/15/2015,57.05,58.5,
7/16/2015,57.51,57.04,
7/17/2015,57.52,57.5,
7/20/2015,56.65,57.51,
7/21/2015,57.04,56.64,
7/22/2015,56.13,57.03,
7/23/2015,55.27,56.12,
7/24/2015,54.62,55.26,
7/27/2015,53.47,54.61,
7/28/2015,53.3,53.46,
7/29/2015,53.38,53.29,
7/30/2015,53.31,53.37,
7/31/2015,52.21,53.3,
8/3/2015,49.52,52.2,
8/4/2015,49.99,49.51,
8/5/2015,49.59,49.98,
8/6/2015,49.52,49.58,
8/7/2015,48.61,49.51,
8/10/2015,50.41,48.6,
8/11/2015,49.18,50.4,
8/12/2015,49.66,49.17,
8/13/2015,49.22,49.65,
8/14/2015,49.03,49.21,
8/17/2015,49.03,49.02,
8/18/2015,48.81,49.02,
8/19/2015,47.16,48.8,
8/20/2015,46.62,47.15,
8/21/2015,45.46,46.61,
8/24/2015,42.69,45.44,
8/25/2015,43.21,42.67,
8/26/2015,43.14,43.19,
8/27/2015,47.56,43.12,
8/28/2015,50.05,47.55,
8/31/2015,54.15,50.04,
9/1/2015,49.56,54.14,
9/2/2015,50.5,49.55,
9/3/2015,50.68,50.49,
9/4/2015,49.61,50.67,
9/8/2015,49.52,49.6,
9/9/2015,47.58,49.51,
9/10/2015,48.89,47.57,
9/11/2015,48.14,48.88,
9/14/2015,46.37,48.13,
9/15/2015,46.63,46.36,
9/16/2015,46.61,46.62,
9/17/2015,49.08,46.6,
9/18/2015,47.47,49.07,
9/21/2015,48.92,47.46,
9/22/2015,49.08,48.91,
9/23/2015,47.75,49.07,
9/24/2015,48.17,47.74,
9/25/2015,48.6,48.16,
9/28/2015,47.34,48.59,
9/29/2015,48.23,47.33,
9/30/2015,48.37,48.22,
10/1/2015,47.69,48.36,
10/2/2015,48.13,47.68,
10/5/2015,49.25,48.12,
10/6/2015,51.92,49.24,
10/7/2015,51.33,51.91,
10/8/2015,53.05,51.32,
10/9/2015,52.65,53.04,
10/12/2015,49.86,52.64,
10/13/2015,49.24,49.85,
10/14/2015,49.15,49.23,
10/15/2015,48.71,49.14,
10/16/2015,48.73,48.7,
10/19/2015,48.61,48.72,
10/20/2015,48.71,48.6,
10/21/2015,47.85,48.7,
10/22/2015,48.08,47.84,
10/23/2015,47.99,48.07,
10/26/2015,47.54,47.98,
10/27/2015,46.81,47.53,
10/28/2015,49.05,46.8,
10/29/2015,48.8,49.04,
10/30/2015,49.56,48.79,
11/2/2015,48.79,49.55,
11/3/2015,50.54,48.78,
11/4/2015,48.58,50.53,
11/5/2015,47.98,48.57,
11/6/2015,47.42,47.97,
11/9/2015,47.19,47.41,
11/10/2015,47.44,47.18,
11/11/2015,45.81,47.43,
11/12/2015,44.06,45.8,
11/13/2015,43.61,44.04,
11/16/2015,43.58,43.59,
11/17/2015,43.57,43.56,
11/18/2015,44.14,43.55,
11/19/2015,44.18,44.12,
11/20/2015,44.66,44.16,
11/23/2015,44.83,44.64,
11/24/2015,46.12,44.81,
11/25/2015,46.17,46.11,
11/27/2015,44.86,46.16,
11/30/2015,44.61,44.84,
12/1/2015,44.44,44.59,
12/2/2015,42.49,44.42,
12/3/2015,43.84,42.47,
12/4/2015,43,43.82,
12/7/2015,40.73,42.98,
12/8/2015,40.26,40.71,
12/9/2015,40.11,40.24,
12/10/2015,39.73,40.09,
12/11/2015,37.93,39.71,
12/14/2015,37.92,37.91,
12/15/2015,38.45,37.9,
12/16/2015,37.19,38.43,
12/17/2015,37.18,37.17,
12/18/2015,36.88,37.16,
12/21/2015,36.35,36.86,
12/22/2015,36.11,36.33,
12/23/2015,37.36,36.09,
12/24/2015,37.89,37.34,
12/28/2015,36.62,37.87,
12/29/2015,37.79,36.6,
12/30/2015,36.46,37.77,
12/31/2015,37.28,36.44,
1/4/2016,37.22,37.26,
1/5/2016,36.42,37.2,
1/6/2016,34.23,36.4,
1/7/2016,33.75,34.21,
1/8/2016,33.55,33.73,
1/11/2016,31.55,33.53,
1/12/2016,30.86,31.53,
1/13/2016,30.31,30.84,
1/14/2016,31.03,30.29,
1/15/2016,31.01,31.01,
1/19/2016,28.76,30.99,
1/20/2016,27.88,28.74,
1/21/2016,29.25,27.86,
1/22/2016,32.18,29.23,
1/25/2016,30.5,32.16,
1/26/2016,31.8,30.48,
1/27/2016,33.1,31.78,
1/28/2016,33.89,33.08,
1/29/2016,34.74,33.87,
2/1/2016,34.69,34.72,
2/2/2016,32.72,34.67,
2/3/2016,35.04,32.7,
2/4/2016,34.46,35.02,
2/5/2016,34.06,34.44,
2/8/2016,32.88,34.04,
2/9/2016,30.32,32.86,
2/10/2016,30.84,30.3,
2/11/2016,30.06,30.82,
2/12/2016,33.36,30.04,
2/16/2016,32.18,33.34,
2/17/2016,34.5,32.16,
2/18/2016,34.28,34.48,
2/19/2016,33.01,34.26,
2/22/2016,34.69,32.99,
2/23/2016,33.27,34.67,
2/24/2016,34.41,33.25,
2/25/2016,35.29,34.39,
2/26/2016,35.1,35.27,
2/29/2016,35.97,35.08,
3/1/2016,35.96,35.95,
3/2/2016,36.93,35.94,
3/3/2016,37.07,36.91,
3/4/2016,38.72,37.05,
3/7/2016,40.84,38.7,
3/8/2016,39.65,40.82,
3/9/2016,41.07,39.63,
3/10/2016,40.05,41.05,
3/11/2016,40.39,40.03,
3/14/2016,39.53,40.37,
3/15/2016,38.74,39.51,
3/16/2016,40.33,38.72,
3/17/2016,41.54,40.31,
3/18/2016,41.2,41.52,
3/21/2016,41.54,41.18,
3/22/2016,41.79,41.52,
3/23/2016,40.47,41.77,
3/24/2016,40.44,40.45,
3/28/2016,40.27,40.42,
3/29/2016,39.14,40.25,
3/30/2016,39.26,39.12,
3/31/2016,39.6,39.24,
4/1/2016,39.66,39.58,
4/4/2016,37.69,39.64,
4/5/2016,37.87,37.67,
4/6/2016,39.84,37.85,
4/7/2016,39.43,39.82,
4/8/2016,41.94,39.41,
4/11/2016,42.83,41.92,
4/12/2016,44.69,42.81,
4/13/2016,44.18,44.68,
4/14/2016,43.84,44.17,
4/15/2016,43.1,43.83,
4/18/2016,42.91,43.08,
4/19/2016,44.03,42.89,
4/20/2016,45.8,44.02,
4/21/2016,44.53,45.79,
4/22/2016,45.11,44.52,
4/25/2016,44.48,45.1,
4/26/2016,45.74,44.47,
4/27/2016,47.18,45.73,
4/28/2016,48.14,47.17,
4/29/2016,48.13,48.13,
5/2/2016,48.1,48.12,
5/3/2016,46.75,48.09,
5/4/2016,44.62,46.74,
5/5/2016,45.01,44.61,
5/6/2016,45.37,45,
5/9/2016,43.63,45.36,
5/10/2016,45.52,43.62,
5/11/2016,47.6,45.51,
5/12/2016,48.08,47.59,
5/13/2016,47.83,48.07,
5/16/2016,48.97,47.82,
5/17/2016,49.28,48.96,
5/18/2016,48.93,49.27,
5/19/2016,48.81,48.92,
5/20/2016,48.72,48.8,
5/23/2016,48.35,48.71,
5/24/2016,48.61,48.34,
5/25/2016,49.74,48.6,
5/26/2016,49.59,49.73,
5/27/2016,49.32,49.58,
5/31/2016,49.69,49.31,
6/1/2016,49.71,49.68,
6/2/2016,50.04,49.7,
6/3/2016,49.64,50.03,
6/6/2016,50.55,49.63,
6/7/2016,51.44,50.54,
6/8/2016,52.51,51.43,
6/9/2016,51.95,52.5,
6/10/2016,50.54,51.94,
6/13/2016,50.35,50.53,
6/14/2016,49.83,50.34,
6/15/2016,48.97,49.82,
6/16/2016,47.19,48.96,
6/17/2016,49.17,47.18,
6/20/2016,50.65,49.16,
6/21/2016,50.62,50.64,
6/22/2016,49.88,50.61,
6/23/2016,50.91,49.87,
6/24/2016,48.41,50.9,
6/27/2016,47.16,48.4,
6/28/2016,48.58,47.15,
6/29/2016,50.61,48.57,
6/30/2016,49.68,50.6,
7/1/2016,49.84,49.67,
7/5/2016,47.96,49.83,
7/6/2016,48.8,47.95,
7/7/2016,46.4,48.79,
7/8/2016,46.76,46.39,
7/11/2016,46.25,46.75,
7/12/2016,48.47,46.24,
7/13/2016,46.26,48.46,
7/14/2016,47.37,46.25,
7/15/2016,47.61,47.36,
7/18/2016,46.96,47.6,
7/19/2016,46.66,46.95,
7/20/2016,47.17,46.65,
7/21/2016,46.2,47.16,
7/22/2016,45.69,46.19,
7/25/2016,44.72,45.68,
7/26/2016,44.87,44.71,
7/27/2016,43.47,44.86,
7/28/2016,42.7,43.46,
7/29/2016,42.46,42.69,
8/1/2016,42.45,42.44,
8/2/2016,41.8,42.43,
8/3/2016,43.1,41.78,
8/4/2016,44.29,43.09,
8/5/2016,44.27,44.28,
8/8/2016,45.39,44.26,
8/9/2016,44.98,45.38,
8/10/2016,44.05,44.97,
8/11/2016,46.04,44.04,
8/12/2016,46.97,46.03,
8/15/2016,48.35,46.96,
8/16/2016,49.23,48.34,
8/17/2016,49.85,49.22,
8/18/2016,50.89,49.84,
8/19/2016,50.88,50.88,
8/22/2016,49.16,50.87,
8/23/2016,49.96,49.15,
8/24/2016,49.05,49.95,
8/25/2016,49.67,49.04,
8/26/2016,49.92,49.66,
8/29/2016,49.26,49.91,
8/30/2016,48.37,49.25,
8/31/2016,47.04,48.36,
9/1/2016,47.05,47.03,
9/2/2016,46.83,47.04,
9/6/2016,47.26,46.82,
9/7/2016,47.98,47.25,
9/8/2016,49.99,47.97,
9/9/2016,48.01,49.98,
9/12/2016,48.32,48,
9/13/2016,47.1,48.31,
9/14/2016,45.85,47.09,
9/15/2016,46.59,45.84,
9/16/2016,45.77,46.58,
9/19/2016,45.95,45.76,
9/20/2016,45.88,45.94,
9/21/2016,46.83,45.87,
9/22/2016,47.65,46.82,
9/23/2016,45.89,47.64,
9/26/2016,47.35,45.88,
9/27/2016,45.97,47.34,
9/28/2016,48.69,45.96,
9/29/2016,49.24,48.68,
9/30/2016,49.06,49.23,
10/3/2016,49.1,49.05,
10/4/2016,50.87,49.09,
10/5/2016,51.86,50.86,
10/6/2016,52.51,51.85,
10/7/2016,51.93,52.5,
10/11/2016,52.41,51.92,
10/12/2016,51.81,52.4,
10/13/2016,52.03,51.8,
10/14/2016,51.95,52.02,
10/17/2016,51.52,51.94,
10/18/2016,51.68,51.51,
10/19/2016,52.67,51.67,
10/20/2016,51.38,52.66,
10/21/2016,51.78,51.37,
10/24/2016,51.46,51.77,
10/25/2016,50.79,51.45,
10/26/2016,49.98,50.78,
10/27/2016,50.47,49.97,
10/28/2016,49.71,50.46,
10/31/2016,48.3,49.7,
11/1/2016,48.33,48.29,
11/2/2016,46.86,48.32,
11/3/2016,46.35,46.85,
11/4/2016,45.58,46.34,
11/7/2016,46.15,45.57,
11/8/2016,46.04,46.14,
11/9/2016,46.36,46.03,
11/10/2016,45.84,46.35,
11/14/2016,44.43,45.83,
11/15/2016,46.95,44.42,
11/16/2016,46.63,46.94,
11/17/2016,46.49,46.62,
11/18/2016,46.86,46.48,
11/21/2016,48.9,46.85,
11/22/2016,49.12,48.89,
11/23/2016,48.95,49.11,
11/25/2016,47.24,48.94,
11/28/2016,48.24,47.23,
11/29/2016,46.38,48.23,
11/30/2016,50.47,46.37,
12/1/2016,50.46,50.46,
12/2/2016,54.46,50.45,
12/5/2016,54.94,54.45,
12/6/2016,53.93,54.93,
12/7/2016,53,53.92,
12/8/2016,53.89,52.99,
12/9/2016,54.33,53.88,
12/12/2016,55.69,54.32,
12/13/2016,55.72,55.68,
12/14/2016,53.9,55.71,
12/15/2016,54.02,53.89,
12/16/2016,55.21,54.01,
12/19/2016,54.92,55.2,
12/20/2016,55.35,54.91,
12/21/2016,54.46,55.34,
12/22/2016,55.05,54.45,
12/23/2016,55.16,55.04,
12/27/2016,56.09,55.15,
12/28/2016,56.22,56.08,
12/29/2016,56.14,56.21,
12/30/2016,56.13,56.13,
1/3/2017,55.47,56.12,
1/4/2017,56.46,55.46,
1/5/2017,56.89,56.45,
1/6/2017,57.1,56.88,
1/9/2017,54.94,57.09,
1/10/2017,53.64,54.93,
1/11/2017,55.1,53.63,
1/12/2017,56.01,55.09,
1/13/2017,55.45,56,
1/17/2017,55.47,55.44,
1/18/2017,53.92,55.46,
1/19/2017,54.16,53.91,
1/20/2017,55.49,54.15,
1/23/2017,55.23,55.48,
1/24/2017,55.44,55.22,
1/25/2017,55.08,55.43,
1/26/2017,56.24,55.07,
1/27/2017,55.52,56.23,
1/30/2017,55.23,55.51,
1/31/2017,55.7,55.22,
2/1/2017,55.66,55.69,
2/2/2017,56.56,55.65,
2/3/2017,56.81,56.55,
2/6/2017,55.72,56.8,
2/7/2017,55.05,55.71,
2/8/2017,55.12,55.04,
2/9/2017,55.63,55.11,
2/10/2017,56.7,55.62,
2/13/2017,55.59,56.69,
2/14/2017,55.97,55.58,
2/15/2017,55.75,55.96,
2/16/2017,55.65,55.74,
2/17/2017,55.81,55.64,
2/21/2017,56.66,55.8,
2/22/2017,55.84,56.65,
2/23/2017,56.58,55.83,
2/24/2017,55.99,56.57,
2/27/2017,55.93,55.98,
2/28/2017,55.59,55.92,
3/1/2017,55.6,55.58,
3/2/2017,55.08,55.59,
3/3/2017,55.9,55.07,
3/6/2017,56.01,55.89,
3/7/2017,55.92,56,
3/8/2017,53.11,55.91,
3/9/2017,52.19,53.1,
3/10/2017,51.37,52.18,
3/13/2017,51.35,51.36,
3/14/2017,50.92,51.34,
3/15/2017,51.81,50.91,
3/16/2017,51.74,51.8,
3/17/2017,51.76,51.73,
3/20/2017,51.62,51.75,
3/21/2017,50.96,51.61,
3/22/2017,50.64,50.95,
3/23/2017,50.56,50.63,
3/24/2017,50.8,50.55,
3/27/2017,50.75,50.79,
3/28/2017,51.33,50.74,
3/29/2017,52.42,51.32,
3/30/2017,52.96,52.41,
3/31/2017,52.83,52.95,
4/3/2017,52.73,52.82,
4/4/2017,54.17,52.72,
4/5/2017,54.36,54.16,
4/6/2017,54.89,54.35,
4/7/2017,55.24,54.88,
4/10/2017,55.98,55.23,
4/11/2017,56.23,55.97,
4/12/2017,55.86,56.22,
4/13/2017,55.89,55.85,
4/17/2017,55.36,55.88,
4/18/2017,54.89,55.35,
4/19/2017,52.93,54.88,
4/20/2017,52.99,52.92,
4/21/2017,51.96,52.98,
4/24/2017,51.6,51.95,
4/25/2017,52.1,51.59,
4/26/2017,51.82,52.09,
4/27/2017,51.44,51.81,
4/28/2017,51.73,51.43,
5/1/2017,51.66,51.72,
5/3/2017,50.79,51.65,
5/4/2017,48.38,50.78,
5/5/2017,49.1,48.37,
5/8/2017,49.34,49.09,
5/9/2017,48.73,49.33,
5/10/2017,50.22,48.72,
5/11/2017,50.77,50.21,
5/12/2017,50.84,50.76,
5/15/2017,51.82,50.83,
5/16/2017,51.65,51.81,
5/17/2017,52.21,51.64,
5/18/2017,52.51,52.2,
5/19/2017,53.61,52.5,
5/22/2017,53.87,53.6,
5/23/2017,54.15,53.86,
5/24/2017,53.96,54.14,
5/25/2017,51.46,53.95,
5/26/2017,52.15,51.45,
5/30/2017,51.84,52.14,
5/31/2017,50.31,51.83,
6/1/2017,50.33,50.3,
6/2/2017,49.95,50.32,
6/5/2017,49.47,49.94,
6/6/2017,50.12,49.46,
6/7/2017,48.06,50.11,
6/8/2017,47.86,48.05,
6/9/2017,48.15,47.85,
6/12/2017,48.29,48.14,
6/13/2017,48.72,48.28,
6/14/2017,47,48.71,
6/15/2017,46.92,46.99,
6/16/2017,47.37,46.91,
6/19/2017,46.91,47.36,
6/20/2017,46.02,46.9,
6/21/2017,44.82,46.01,
6/22/2017,45.22,44.81,
6/23/2017,45.54,45.21,
6/26/2017,45.83,45.53,
6/27/2017,46.65,45.82,
6/28/2017,47.31,46.64,
6/29/2017,47.42,47.3,
6/30/2017,47.92,47.41,
7/3/2017,47.87,47.91,
7/5/2017,47.79,47.86,
7/6/2017,48.11,47.78,
7/7/2017,46.71,48.1,
7/10/2017,46.88,46.7,
7/11/2017,47.52,46.87,
7/12/2017,47.74,47.51,
7/13/2017,48.42,47.73,
7/14/2017,48.91,48.41,
7/17/2017,48.42,48.9,
7/18/2017,48.84,48.41,
7/19/2017,49.7,48.83,
7/20/2017,49.3,49.69,
7/21/2017,48.06,49.29,
7/24/2017,48.6,48.05,
7/25/2017,50.2,48.59,
7/26/2017,50.97,50.19,
7/27/2017,51.49,50.96,
7/28/2017,52.52,51.48,
7/31/2017,52.65,52.51,
8/1/2017,52.63,52.64,
8/2/2017,52.36,52.62,
8/3/2017,52.01,52.35,
8/4/2017,52.42,52,
8/7/2017,52.37,52.41,
8/8/2017,52.14,52.36,
8/9/2017,52.7,52.13,
8/10/2017,51.9,52.69,
8/11/2017,52.1,51.89,
8/14/2017,50.73,52.09,
8/15/2017,50.8,50.72,
8/16/2017,50.27,50.79,
8/17/2017,51.03,50.26,
8/18/2017,52.72,51.02,
8/21/2017,51.66,52.71,
8/22/2017,51.87,51.65,
8/23/2017,52.57,51.86,
8/24/2017,52.04,52.56,
8/25/2017,52.41,52.03,
8/28/2017,51.89,52.4,
8/29/2017,52,51.88,
8/30/2017,50.86,51.99,
8/31/2017,52.38,50.85,
9/1/2017,52.32,52.37,
9/5/2017,53.38,52.31,
9/6/2017,54.2,53.37,
9/7/2017,54.49,54.19,
9/8/2017,53.78,54.48,
9/11/2017,53.84,53.77,
9/12/2017,54.27,53.83,
9/13/2017,55.16,54.26,
9/14/2017,55.47,55.15,
9/15/2017,55.62,55.46,
9/18/2017,55.48,55.61,
9/19/2017,55.14,55.47,
9/20/2017,56.29,55.13,
9/21/2017,56.43,56.28,
9/22/2017,56.86,56.42,
9/25/2017,59.02,56.85,
9/26/2017,58.44,59.01,
9/27/2017,57.9,58.43,
9/28/2017,57.41,57.89,
9/29/2017,57.54,57.4,
10/2/2017,57.46,57.53,
10/3/2017,56,57.45,
10/4/2017,55.8,55.99,
10/5/2017,57,55.79,
10/6/2017,55.62,56.99,
10/9/2017,55.79,55.61,
10/10/2017,56.61,55.78,
10/11/2017,56.94,56.6,
10/12/2017,56.25,56.93,
10/13/2017,57.17,56.24,
10/16/2017,57.82,57.16,
10/17/2017,57.88,57.81,
10/18/2017,58.15,57.87,
10/19/2017,57.23,58.14,
10/20/2017,57.75,57.22,
10/23/2017,57.37,57.74,
10/24/2017,58.33,57.36,
10/25/2017,58.44,58.32,
10/26/2017,59.3,58.43,
10/27/2017,60.44,59.29,
10/30/2017,60.9,60.43,
10/31/2017,61.37,60.89,
11/1/2017,61.29,61.36,
11/2/2017,60.62,61.28,
11/3/2017,62.07,60.61,
11/6/2017,64.27,62.06,
11/7/2017,63.69,64.27,
11/8/2017,63.49,63.69,
11/9/2017,63.93,63.49,
11/10/2017,63.52,63.93,
11/13/2017,63.16,63.52,
11/14/2017,62.21,63.16,
11/15/2017,61.87,62.2,
11/16/2017,61.36,61.86,
11/17/2017,62.72,61.35,
11/20/2017,62.22,62.71,
11/21/2017,62.57,62.21,
11/22/2017,63.32,62.56,
11/24/2017,63.86,63.32,
11/27/2017,63.84,63.86,
11/28/2017,63.61,63.84,
11/29/2017,63.11,63.61,
11/30/2017,63.57,63.11,
12/1/2017,63.49,63.57,
12/4/2017,62.45,63.49,
12/5/2017,62.86,62.44,
12/6/2017,61.22,62.85,
12/7/2017,62.2,61.21,
12/8/2017,63.4,62.19,
12/11/2017,64.69,63.4,
12/12/2017,63.34,64.69,
12/13/2017,62.44,63.34,
12/14/2017,63.31,62.43,
12/15/2017,63.23,63.31,
12/18/2017,63.41,63.23,
12/19/2017,63.8,63.41,
12/20/2017,64.56,63.8,
12/21/2017,64.9,64.56,
12/22/2017,65.25,64.9,
12/26/2017,67.02,65.25,
12/27/2017,66.44,67.02,
12/28/2017,66.72,66.44,
12/29/2017,66.6,66.72,
1/2/2018,66.57,66.6,
1/3/2018,67.84,66.57,
1/4/2018,68.07,67.84,
1/5/2018,67.62,68.07,
1/8/2018,67.78,67.62,
1/9/2018,68.82,67.78,
1/10/2018,69.2,68.82,
1/11/2018,69.26,69.2,
1/12/2018,69.87,69.26,
1/16/2018,69.15,69.87,
1/17/2018,69.38,69.15,
1/18/2018,69.31,69.38,
1/19/2018,68.61,69.31,
1/22/2018,69.03,68.61,
1/23/2018,69.96,69.03,
1/24/2018,70.53,69.96,
1/25/2018,70.42,70.53,
1/26/2018,70.52,70.42,
1/29/2018,69.46,70.52,
1/30/2018,69.02,69.46,
1/31/2018,69.05,69.02,
2/1/2018,69.08,69.05,
2/2/2018,68.58,69.08,
2/5/2018,67.62,68.58,
2/6/2018,66.86,67.62,
2/7/2018,65.51,66.86,
2/8/2018,64.81,65.51,
2/9/2018,62.79,64.81,
2/12/2018,62.59,62.79,
2/13/2018,62.72,62.58,
2/14/2018,64.36,62.71,
2/15/2018,64.33,64.36,
2/16/2018,64.84,64.33,
2/20/2018,65.25,64.84,
2/21/2018,65.42,65.25,
2/22/2018,66.39,65.42,
2/23/2018,67.31,66.39,
2/26/2018,67.5,67.31,
2/27/2018,66.63,67.5,
2/28/2018,65.78,66.63,
3/1/2018,65.71,65.78,
3/2/2018,64.37,65.71,
3/5/2018,65.54,64.37,
3/6/2018,65.79,65.54,
3/7/2018,64.34,65.79,
3/8/2018,63.61,64.34,
3/9/2018,65.49,63.61,
3/12/2018,64.95,65.49,
3/13/2018,64.64,64.95,
3/14/2018,64.89,64.64,
3/15/2018,65.12,64.89,
3/16/2018,66.21,65.12,
3/19/2018,66.05,66.21,
