Date,Close Prices,"ARIMA_50.0_(0, 1, 0)_Predictions",LSTM_80.0_Predictions
1/1/2015,55.11,55.87,
4/1/2015,63.59,53.62,
7/1/2015,48.37,62.47,
10/1/2015,37.28,46.75,
1/1/2016,39.6,35.33,
4/1/2016,49.68,37.79,
7/1/2016,49.06,48.26,
10/1/2016,56.13,47.66,
4/1/2017,47.92,54.99,
7/1/2017,57.54,46.57,
1/1/2018,70.27,56.5,
10/1/2018,52.28,69.61,
1/1/2019,68.39,51.16,
4/1/2019,66.55,67.72,
7/1/2019,60.78,65.85,
10/1/2019,68.38,59.95,
1/1/2020,22.74,67.76,
4/1/2020,41.15,21.05,
7/1/2020,40.95,39.92,
10/1/2020,51.34,39.75,
1/1/2021,63.54,50.4,
4/1/2021,75.13,62.88,
7/1/2021,78.52,74.73,
10/1/2021,79.2,78.2,80.64
1/1/2022,107.91,78.9,81.44
4/1/2022,114.81,108.19,89.6
