Date,Close Prices,"ARIMA_50.0_(1, 0, 0)_Predictions",LSTM_80.0_Predictions
1/19/2015,48.79,48.14,
1/26/2015,52.99,49.23,
2/2/2015,57.8,53.41,
2/9/2015,57.39,58.2,
2/16/2015,60.22,57.79,
2/23/2015,62.58,60.59,
3/2/2015,59.73,62.93,
3/9/2015,54.67,60.1,
3/16/2015,55.32,55.08,
3/23/2015,56.41,55.72,
3/30/2015,54.95,56.8,
4/6/2015,57.87,55.35,
4/13/2015,63.45,58.25,
4/20/2015,65.28,63.78,
4/27/2015,66.46,65.6,
5/4/2015,65.39,66.76,
5/11/2015,66.57,65.7,
5/18/2015,65.37,66.87,
5/25/2015,65.56,65.68,
6/1/2015,63.31,65.86,
6/8/2015,63.87,63.63,
6/15/2015,63.02,64.19,
6/22/2015,63.26,63.34,
6/29/2015,62.07,63.58,
7/6/2015,58.73,62.4,
7/13/2015,57.52,59.08,
7/20/2015,54.62,57.88,
7/27/2015,52.21,54.99,
8/3/2015,48.61,52.59,
8/10/2015,49.03,49.01,
8/17/2015,45.46,49.42,
8/24/2015,50.05,45.86,
8/31/2015,49.61,50.44,
9/7/2015,48.14,49.99,
9/14/2015,47.47,48.53,
9/21/2015,48.6,47.86,
9/28/2015,48.13,48.98,
10/5/2015,52.65,48.51,
10/12/2015,48.73,53.01,
10/19/2015,47.99,49.1,
10/26/2015,49.56,48.36,
11/2/2015,47.42,49.92,
11/9/2015,43.61,47.79,
11/16/2015,44.66,43.99,
11/23/2015,44.86,45.04,
11/30/2015,43,45.23,
12/7/2015,37.93,43.37,
12/14/2015,36.88,38.31,
12/21/2015,37.89,37.26,
12/28/2015,37.28,38.26,
1/4/2016,33.55,37.65,
1/11/2016,31.01,33.92,
1/18/2016,32.18,31.38,
1/25/2016,34.74,32.54,
2/1/2016,34.06,35.1,
2/8/2016,33.36,34.42,
2/15/2016,33.01,33.72,
2/22/2016,35.1,33.36,
2/29/2016,38.72,35.45,
3/7/2016,40.39,39.06,
3/14/2016,41.2,40.73,
3/21/2016,40.44,41.53,
3/28/2016,39.66,40.77,
4/4/2016,41.94,39.99,
4/11/2016,43.1,42.26,
4/18/2016,45.11,43.42,
4/25/2016,48.13,45.42,
5/2/2016,45.37,48.43,
5/9/2016,47.83,45.68,
5/16/2016,48.72,48.13,
5/23/2016,49.32,49.01,
5/30/2016,49.64,49.61,
6/6/2016,50.54,49.92,
6/13/2016,49.17,50.82,
6/20/2016,48.41,49.45,
6/27/2016,49.84,48.7,
7/4/2016,46.76,50.12,
7/11/2016,47.61,47.05,
7/18/2016,45.69,47.89,
7/25/2016,42.46,45.98,
8/1/2016,44.27,42.76,
8/8/2016,46.97,44.56,
8/15/2016,50.88,47.25,
8/22/2016,49.92,51.14,
8/29/2016,46.83,50.19,
9/5/2016,48.01,47.11,
9/12/2016,45.77,48.28,
9/19/2016,45.89,46.05,
9/26/2016,49.06,46.17,
10/3/2016,51.93,49.33,
10/10/2016,51.95,52.18,
10/17/2016,51.78,52.2,
10/24/2016,49.71,52.03,
10/31/2016,45.58,49.97,
11/7/2016,44.75,45.86,
11/14/2016,46.86,45.03,
11/21/2016,47.24,47.13,
11/28/2016,54.46,47.51,
12/5/2016,54.33,54.69,
12/12/2016,55.21,54.56,
12/19/2016,55.16,55.43,
12/26/2016,56.13,55.38,
1/2/2017,57.1,56.35,
1/9/2017,55.45,57.31,
1/16/2017,55.49,55.67,
1/23/2017,55.52,55.71,
1/30/2017,56.81,55.74,
2/6/2017,56.7,57.02,
2/13/2017,55.81,56.91,
2/20/2017,55.99,56.02,
2/27/2017,55.9,56.2,
3/6/2017,51.37,56.11,
3/13/2017,51.76,51.61,
3/20/2017,50.8,51.99,
3/27/2017,52.83,51.04,
4/3/2017,55.24,53.06,
4/10/2017,55.89,55.45,
4/17/2017,51.96,56.1,
4/24/2017,51.73,52.19,
5/1/2017,49.1,51.96,
5/8/2017,50.84,49.34,
5/15/2017,53.61,51.07,
5/22/2017,52.15,53.83,
5/29/2017,49.95,52.38,
6/5/2017,48.15,50.19,
6/12/2017,47.37,48.39,
6/19/2017,45.54,47.62,
6/26/2017,47.92,45.79,
7/3/2017,46.71,48.16,
7/10/2017,48.91,46.96,
7/17/2017,48.06,49.15,
7/24/2017,52.52,48.3,
7/31/2017,52.42,52.74,
8/7/2017,52.1,52.64,
8/14/2017,52.72,52.32,
8/21/2017,52.41,52.93,
8/28/2017,52.32,52.62,
9/4/2017,53.78,52.53,
9/11/2017,55.62,53.98,
9/18/2017,56.86,55.81,
9/25/2017,57.54,57.05,
10/2/2017,55.62,57.72,
10/9/2017,57.17,55.81,
10/16/2017,57.75,57.35,
10/23/2017,60.44,57.93,
10/30/2017,62.07,60.6,
11/6/2017,63.52,62.22,
11/13/2017,62.72,63.66,
11/20/2017,63.86,62.86,
11/27/2017,63.49,64,
12/4/2017,63.4,63.63,
12/11/2017,63.23,63.54,
12/18/2017,65.25,63.37,
12/25/2017,66.6,65.37,
1/1/2018,67.62,66.71,
1/8/2018,69.87,67.73,
1/15/2018,68.61,69.96,
1/22/2018,70.52,68.71,
1/29/2018,68.58,70.6,
2/5/2018,62.79,68.68,
2/12/2018,64.84,62.93,
2/19/2018,67.31,64.97,
2/26/2018,64.37,67.42,
3/5/2018,65.49,64.5,
3/12/2018,66.21,65.61,
3/19/2018,70.45,66.33,
3/26/2018,70.27,70.53,
4/2/2018,67.11,70.36,
4/9/2018,72.58,67.22,
4/16/2018,74.06,72.65,
4/23/2018,74.64,74.12,
4/30/2018,74.87,74.69,
5/7/2018,77.12,74.92,
5/14/2018,78.51,77.15,
5/21/2018,76.44,78.53,
5/28/2018,77.59,76.48,
6/4/2018,76.46,77.62,
6/11/2018,73.44,76.5,
6/18/2018,75.55,73.5,
6/25/2018,79.44,75.59,
7/2/2018,77.11,79.45,
7/9/2018,75.33,77.14,
7/16/2018,73.07,75.38,
7/23/2018,74.29,73.13,
7/30/2018,73.21,74.34,
8/6/2018,72.81,73.27,
8/13/2018,71.83,72.88,
8/20/2018,75.82,71.9,
8/27/2018,77.42,75.86,
9/3/2018,76.83,77.45,
9/10/2018,78.09,76.86,
9/17/2018,78.8,78.11,
9/24/2018,82.72,78.82,
10/1/2018,84.16,82.71,
10/8/2018,80.43,84.13,
10/15/2018,79.78,80.43,
10/22/2018,77.62,79.79,
10/29/2018,72.83,77.65,
11/5/2018,70.18,72.9,
11/12/2018,66.76,70.27,
11/19/2018,58.8,66.87,
11/26/2018,58.71,58.97,
12/3/2018,61.67,58.88,
12/10/2018,60.28,61.82,
12/17/2018,53.82,60.44,
12/24/2018,52.2,54.02,
12/31/2018,57.06,52.41,
1/7/2019,60.48,57.24,
1/14/2019,62.7,60.64,
1/21/2019,61.64,62.84,
1/28/2019,61.87,61.79,
2/4/2019,62.1,62.02,
2/11/2019,66.25,62.25,
2/18/2019,67.12,66.37,
2/25/2019,66.01,67.23,
3/4/2019,65.74,66.13,
3/11/2019,67.16,65.86,
3/18/2019,67.03,67.27,
3/25/2019,68.39,67.14,
4/1/2019,70.34,68.49,
4/8/2019,71.55,70.42,
4/15/2019,71.97,71.62,
4/22/2019,72.15,72.04,
4/29/2019,70.85,72.22,
5/6/2019,70.62,70.93,
5/13/2019,72.21,70.7,
5/20/2019,68.69,72.28,
5/27/2019,64.49,68.78,
6/3/2019,63.29,64.62,
6/10/2019,62.01,63.43,
6/17/2019,65.2,62.16,
6/24/2019,66.55,65.32,
7/1/2019,64.23,66.66,
7/8/2019,66.72,64.36,
7/15/2019,62.47,66.83,
7/22/2019,63.46,62.61,
7/29/2019,61.89,63.59,
8/5/2019,58.53,62.04,
8/12/2019,58.64,58.7,
8/19/2019,59.34,58.81,
8/26/2019,60.43,59.5,
9/2/2019,61.54,60.58,
9/9/2019,60.22,61.69,
9/16/2019,64.28,60.38,
9/23/2019,61.91,64.41,
9/30/2019,58.37,62.05,
10/7/2019,60.51,58.54,
10/14/2019,59.42,60.66,
10/21/2019,62.02,59.58,
10/28/2019,60.21,62.16,
11/4/2019,62.51,60.36,
11/11/2019,63.3,62.65,
11/18/2019,63.39,63.43,
11/25/2019,62.43,63.52,
12/2/2019,64.39,62.57,
12/9/2019,65.22,64.51,
12/16/2019,66.14,65.34,
12/23/2019,68.16,66.25,
12/30/2019,68.6,68.25,
1/6/2020,64.98,68.69,
1/13/2020,64.85,65.1,
1/20/2020,60.69,64.97,
1/27/2020,58.16,60.84,
2/3/2020,54.47,58.33,
2/10/2020,57.32,54.66,
2/17/2020,58.5,57.49,
2/24/2020,50.52,58.66,
3/2/2020,45.27,50.74,
3/9/2020,33.85,45.52,
3/16/2020,26.98,34.15,
3/23/2020,24.93,27.29,
3/30/2020,34.11,25.25,
4/6/2020,31.48,34.41,
4/13/2020,28.08,31.79,
4/20/2020,21.44,28.39,
4/27/2020,25.29,21.76,
5/4/2020,30.97,25.61,
5/11/2020,32.5,31.27,
5/18/2020,35.13,32.8,
5/25/2020,35.33,35.42,
6/1/2020,42.3,35.62,
6/8/2020,38.73,42.56,
6/15/2020,42.19,39,
6/22/2020,41.02,42.45,
6/29/2020,43.14,41.28,
7/6/2020,43.24,43.39,
7/13/2020,43.14,43.49,
7/20/2020,43.34,43.39,
7/27/2020,43.3,43.59,
8/3/2020,44.4,43.55,
8/10/2020,44.8,44.64,
8/17/2020,44.35,45.04,
8/24/2020,45.05,44.59,
8/31/2020,42.66,45.28,
9/7/2020,39.83,42.91,
9/14/2020,43.15,40.09,
9/21/2020,41.92,43.39,
9/28/2020,39.27,42.17,
10/5/2020,42.85,39.53,
10/12/2020,42.93,43.09,
10/19/2020,41.77,43.17,
10/26/2020,37.46,42.02,
11/2/2020,39.45,37.73,
11/9/2020,42.78,39.71,
11/16/2020,44.96,43.02,
11/23/2020,48.18,45.19,
11/30/2020,49.25,48.39,
12/7/2020,49.97,49.45,
12/14/2020,52.26,50.17,
12/21/2020,51.29,52.44,
12/28/2020,51.34,51.48,
1/4/2021,55.99,51.53,
1/11/2021,55.1,56.15,
1/18/2021,55.41,55.26,
1/25/2021,55.88,55.57,55.13
2/1/2021,59.34,56.04,55.61
2/8/2021,62.43,59.47,59.16
2/15/2021,62.91,62.54,62.39
2/22/2021,66.13,63.02,62.69
3/1/2021,69.36,66.21,66.27
3/8/2021,69.22,69.42,69.48
3/15/2021,64.53,69.28,68.82
3/22/2021,64.57,64.63,63.8
3/29/2021,64.86,64.67,64.43
4/5/2021,62.95,64.95,64.68
4/12/2021,66.77,63.06,62.57
4/19/2021,66.11,66.85,67.02
4/26/2021,67.25,66.19,65.72
5/3/2021,68.28,67.33,67.17
5/10/2021,68.71,68.35,68.14
5/17/2021,66.44,68.77,68.47
5/24/2021,69.63,66.52,65.91
5/31/2021,71.89,69.69,69.87
6/7/2021,72.69,71.93,71.79
6/14/2021,73.51,72.72,72.3
6/21/2021,76.18,73.54,73.12
6/28/2021,76.17,76.18,76
7/5/2021,75.55,76.17,75.39
7/12/2021,73.59,75.56,74.77
7/19/2021,74.1,73.62,72.71
7/26/2021,76.33,74.12,73.69
8/2/2021,70.7,76.33,76.06
8/9/2021,70.59,70.75,69.36
8/16/2021,65.18,70.64,70.34
8/23/2021,72.7,65.27,64.32
8/30/2021,72.61,72.73,73.74
9/6/2021,72.92,72.64,71.9
9/13/2021,75.34,72.95,72.49
9/20/2021,78.09,75.35,75.17
9/27/2021,79.28,78.08,77.76
10/4/2021,82.39,79.26,78.54
10/11/2021,84.86,82.34,81.95
10/18/2021,85.53,84.8,84.18
10/25/2021,84.38,85.46,84.55
11/1/2021,82.74,84.32,83.14
11/8/2021,82.17,82.69,81.46
11/15/2021,78.89,82.13,81.08
11/22/2021,72.72,78.87,77.46
11/29/2021,69.88,72.75,71.26
12/6/2021,75.15,69.94,69.22
12/13/2021,73.52,75.16,75.69
12/20/2021,76.85,73.55,72.55
12/27/2021,79.2,76.85,76.84
1/3/2022,81.75,79.18,78.69
1/10/2022,86.06,81.71,81.18
1/17/2022,87.89,85.98,85.77
1/24/2022,90.03,87.8,87.12
1/31/2022,93.27,89.92,89.43
2/7/2022,94.44,93.14,93.02
2/14/2022,93.54,94.3,93.97
2/21/2022,97.93,93.41,92.8
2/28/2022,118.11,97.77,98.17
3/7/2022,112.67,117.81,120.47
3/14/2022,107.93,112.4,112.78
3/21/2022,120.65,107.69,107.72
3/28/2022,107.67,120.34,120.87
4/4/2022,102.78,107.42,107.71
4/11/2022,111.7,102.57,102.33
4/18/2022,106.65,111.42,112.44
